INFO 2024-01-05 03:33:14,900 autoreload Watching for file changes with StatReloader
DEBUG 2024-01-05 03:33:14,902 autoreload Waiting for apps ready_event.
DEBUG 2024-01-05 03:33:16,263 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-01-05 03:33:17,041 autoreload Watching dir C:\Users\User\Documents\Work\Ramin\floramedtour\common\templates with glob **/*.
DEBUG 2024-01-05 03:33:17,042 autoreload Watching dir C:\Users\User\AppData\Local\Programs\Python\Python38\lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-01-05 03:33:17,043 autoreload Watching dir C:\Users\User\AppData\Local\Programs\Python\Python38\lib\site-packages\django_extensions\templates with glob **/*.
DEBUG 2024-01-05 03:33:17,043 autoreload Watching dir C:\Users\User\Documents\Work\Ramin\floramedtour\treatment\templates with glob **/*.
DEBUG 2024-01-05 03:33:17,045 autoreload Watching dir C:\Users\User\Documents\Work\Ramin\floramedtour\locale with glob **/*.mo.
DEBUG 2024-01-05 03:33:17,046 autoreload Watching dir C:\Users\User\Documents\Work\Ramin\floramedtour\administration\locale with glob **/*.mo.
DEBUG 2024-01-05 03:33:17,046 autoreload Watching dir C:\Users\User\Documents\Work\Ramin\floramedtour\food\locale with glob **/*.mo.
DEBUG 2024-01-05 03:33:17,046 autoreload Watching dir C:\Users\User\Documents\Work\Ramin\floramedtour\nursing\locale with glob **/*.mo.
DEBUG 2024-01-05 03:33:17,047 autoreload Watching dir C:\Users\User\Documents\Work\Ramin\floramedtour\shopping\locale with glob **/*.mo.
DEBUG 2024-01-05 03:33:17,047 autoreload Watching dir C:\Users\User\Documents\Work\Ramin\floramedtour\tourism\locale with glob **/*.mo.
DEBUG 2024-01-05 03:33:17,047 autoreload Watching dir C:\Users\User\Documents\Work\Ramin\floramedtour\accommodation\locale with glob **/*.mo.
DEBUG 2024-01-05 03:33:17,048 autoreload Watching dir C:\Users\User\Documents\Work\Ramin\floramedtour\transportation\locale with glob **/*.mo.
DEBUG 2024-01-05 03:33:17,049 autoreload Watching dir C:\Users\User\Documents\Work\Ramin\floramedtour\treatment\locale with glob **/*.mo.
DEBUG 2024-01-05 03:33:17,049 autoreload Watching dir C:\Users\User\Documents\Work\Ramin\floramedtour\common\locale with glob **/*.mo.
DEBUG 2024-01-05 03:33:17,050 autoreload Watching dir C:\Users\User\Documents\Work\Ramin\floramedtour\communication\locale with glob **/*.mo.
DEBUG 2024-01-05 03:33:17,050 autoreload Watching dir C:\Users\User\Documents\Work\Ramin\floramedtour\financialhub\locale with glob **/*.mo.
DEBUG 2024-01-05 03:33:17,050 autoreload Watching dir C:\Users\User\AppData\Local\Programs\Python\Python38\lib\site-packages\django_extensions\locale with glob **/*.mo.
DEBUG 2024-01-05 03:33:17,051 autoreload Watching dir C:\Users\User\AppData\Local\Programs\Python\Python38\lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-01-05 03:33:17,051 autoreload Watching dir C:\Users\User\AppData\Local\Programs\Python\Python38\lib\site-packages\rest_framework_simplejwt\locale with glob **/*.mo.
DEBUG 2024-01-05 03:33:17,052 autoreload Watching dir C:\Users\User\AppData\Local\Programs\Python\Python38\lib\site-packages\sslserver\locale with glob **/*.mo.
DEBUG 2024-01-05 03:33:17,052 autoreload Watching dir C:\Users\User\AppData\Local\Programs\Python\Python38\lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2024-01-05 03:33:17,052 autoreload Watching dir C:\Users\User\AppData\Local\Programs\Python\Python38\lib\site-packages\rest_framework_simplejwt\token_blacklist\locale with glob **/*.mo.
DEBUG 2024-01-05 03:33:17,053 autoreload Watching dir C:\Users\User\AppData\Local\Programs\Python\Python38\lib\site-packages\django_user_agents\locale with glob **/*.mo.
